l_image,r_image,target_sound,correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,key_instruct.started,welcome.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,start.started,start_Lrectangle.started,start_Rrecntangle.started,start_L_image.started,start_R_image.started,star.started,star_mouse.started,start.stopped,star_mouse.x,star_mouse.y,star_mouse.leftButton,star_mouse.midButton,star_mouse.rightButton,star_mouse.time,star_mouse.clicked_name,trial.started,right_rectangle.started,left_rectangle.started,left_image.started,right_image.started,trail_sound.started,trial_mouse.started,trial.stopped,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.time,trial_mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.0032558999955654144,0.010970099989208393,0.8582597999920836,space,0.8313922999950591,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2024-11-28_14h31.01.288,individual assignment animal,2024.1.5,None,2024-11-28 14h31.08.379736 +0530,
C:\Users\HP\Downloads\individual assignment\dog.png,C:\Users\HP\Downloads\individual assignment\pig.png,C:\Users\HP\Downloads\individual assignment\dog.wav,C:\Users\HP\Downloads\individual assignment\dog.png,0,0,0,0,0.9411735999892699,,,,,,,,0.9172102999873459,0.9411735999892699,0.9411735999892699,0.9411735999892699,0.9411735999892699,0.9411735999892699,0.06683409999823198,1.9211997999955202,[0.008333333333333333],[0.030555555555555555],[1],[0],[0],[0.9948745999863604],['star'],1.9227682999917306,1.9486668999888934,1.9486668999888934,1.9486668999888934,1.9486668999888934,1.9518968333218556,0.018438300001434982,2.469985599993379,[-0.3851851851851852],[0.10092592592592593],[1],[0],[0],[0.5277931000018725],"['left_image', 'left_rectangle']",2,001,2024-11-28_14h31.01.288,individual assignment animal,2024.1.5,None,2024-11-28 14h31.08.379736 +0530,
C:\Users\HP\Downloads\individual assignment\parrot.png,C:\Users\HP\Downloads\individual assignment\piegon.png,C:\Users\HP\Downloads\individual assignment\1732375047288jmx5n7yf-voicemaker.in-speech.wav,"C:\Users\HP\Downloads\individual assignment\parrot.png",0,1,1,1,2.501087099997676,,,,,,,,2.4821569999912754,2.501087099997676,2.501087099997676,2.501087099997676,2.501087099997676,2.501087099997676,0.011308899993309751,3.4034848000010243,[-0.017592592592592594],[0.010185185185185186],[1],[0],[0],[0.9094049999985145],['star'],3.4043283999926643,3.422983699987526,3.422983699987526,3.422983699987526,3.422983699987526,3.4181662666562866,0.012802400000509806,3.93746599998849,[-0.30925925925925923],[0.06574074074074074],[1],[0],[0],[0.5187576000025729],"['left_image', 'left_rectangle']",2,001,2024-11-28_14h31.01.288,individual assignment animal,2024.1.5,None,2024-11-28 14h31.08.379736 +0530,
C:\Users\HP\Downloads\individual assignment\pig.png,C:\Users\HP\Downloads\individual assignment\dog.png,C:\Users\HP\Downloads\individual assignment\pig.wav,C:\Users\HP\Downloads\individual assignment\pig.png,0,2,2,2,3.9750757000001613,,,,,,,,3.9517556999926455,3.9750757000001613,3.9750757000001613,3.9750757000001613,3.9750757000001613,3.9750757000001613,0.01440569999977015,4.86900209999294,[-0.011111111111111112],[0.013888888888888888],[1],[0],[0],[0.9024261999875307],['star'],4.869410599989351,4.885193800000707,4.885193800000707,4.885193800000707,4.885193800000707,4.884066866656455,0.008874499995727092,6.185796499994467,[-0.31296296296296294],[0.0962962962962963],[1],[0],[0],[1.3064844000036828],"['left_image', 'left_rectangle']",2,001,2024-11-28_14h31.01.288,individual assignment animal,2024.1.5,None,2024-11-28 14h31.08.379736 +0530,
C:\Users\HP\Downloads\individual assignment\maina.png,C:\Users\HP\Downloads\individual assignment\sparrow_.png,C:\Users\HP\Downloads\individual assignment\1732467382297lq2i0ywk-voicemaker.in-speech.wav,C:\Users\HP\Downloads\individual assignment\sparrow_.png,0,3,3,3,6.220863299997291,,,,,,,,6.201219999988098,6.220863299997291,6.220863299997291,6.220863299997291,6.220863299997291,6.220863299997291,0.012932400000863709,6.952725399998599,[-0.008333333333333333],[0.014814814814814815],[1],[0],[0],[0.7377876000100514],['star'],6.953369299997576,6.978083999987575,6.978083999987575,6.978083999987575,6.978083999987575,6.984191933334417,0.016836099995998666,7.653467899988755,[-0.22037037037037038],[0.05925925925925926],[1],[0],[0],[0.6822795000043698],"['left_image', 'left_rectangle']",2,001,2024-11-28_14h31.01.288,individual assignment animal,2024.1.5,None,2024-11-28 14h31.08.379736 +0530,
C:\Users\HP\Downloads\individual assignment\laopard.png,C:\Users\HP\Downloads\individual assignment\cheetah.png,C:\Users\HP\Downloads\individual assignment\cheetah.wav,C:\Users\HP\Downloads\individual assignment\cheetah.png,0,4,4,4,7.763953499990748,,,,,,,,7.660782899998594,7.763953499990748,7.763953499990748,7.763953499990748,7.763953499990748,7.763953499990748,0.09819669999706093,8.519001099994057,[0.005555555555555556],[0.005555555555555556],[1],[0],[0],[0.7594861000106903],['star'],8.519467399994028,8.638185199990403,8.638185199990403,8.638185199990403,8.638185199990403,8.633957566662382,0.11107970000011846,9.13488569999754,[0.3212962962962963],[0.025925925925925925],[1],[0],[0],[0.5036116999981459],"['right_image', 'right_rectangle']",2,001,2024-11-28_14h31.01.288,individual assignment animal,2024.1.5,None,2024-11-28 14h31.08.379736 +0530,
C:\Users\HP\Downloads\individual assignment\girrage image.png,C:\Users\HP\Downloads\individual assignment\elephant.png,C:\Users\HP\Downloads\individual assignment\ElevenLabs_2024-11-23T09_20_06_Rachel_pre_s50_sb75_se0_b_m2.wav,C:\Users\HP\Downloads\individual assignment\elephant.png,0,5,5,5,9.492836699995678,,,,,,,,9.18660029998864,9.492836699995678,9.492836699995678,9.492836699995678,9.492836699995678,9.492836699995678,0.2862257000087993,10.120097299994086,[0.001851851851851852],[0.005555555555555556],[1],[0],[0],[0.6462081999925431],['star'],10.12087659999088,10.411523599992506,10.411523599992506,10.411523599992506,10.411523599992506,10.400833033324066,0.27015120000578463,11.369216599996435,[0.25833333333333336],[0.02962962962962963],[1],[0],[0],[0.977462499999092],"['right_image', 'right_rectangle']",2,001,2024-11-28_14h31.01.288,individual assignment animal,2024.1.5,None,2024-11-28 14h31.08.379736 +0530,
C:\Users\HP\Downloads\individual assignment\goat.png,C:\Users\HP\Downloads\individual assignment\squirrel.png,C:\Users\HP\Downloads\individual assignment\squirrel voice.wav,C:\Users\HP\Downloads\individual assignment\squirrel.png,0,6,6,6,11.580058699997608,,,,,,,,11.381443899997976,11.580058699997608,11.580058699997608,11.580058699997608,11.580058699997608,11.580058699997608,0.19084039999870583,12.334582199997385,[0.012962962962962963],[-0.009259259259259259],[1],[0],[0],[0.7615545000007842],['star'],12.335046699998202,12.472435599993332,12.472435599993332,12.472435599993332,12.472435599993332,12.482818499999121,0.13131729999440722,12.968885099995532,[0.28425925925925927],[-0.011111111111111112],[1],[0],[0],[0.5014853000029689],"['right_image', 'right_rectangle']",2,001,2024-11-28_14h31.01.288,individual assignment animal,2024.1.5,None,2024-11-28 14h31.08.379736 +0530,
C:\Users\HP\Downloads\individual assignment\cow.png,C:\Users\HP\Downloads\individual assignment\deer.png,C:\Users\HP\Downloads\individual assignment\1732376745479kcscs2c-voicemaker.in-speech.wav,C:\Users\HP\Downloads\individual assignment\deer.png,0,7,7,7,12.99799799999164,,,,,,,,12.981383999998798,12.99799799999164,12.99799799999164,12.99799799999164,12.99799799999164,12.99799799999164,0.009329100008471869,14.068194899999071,[0.005555555555555556],[-0.016666666666666666],[1],[0],[0],[1.0765019999962533],['star'],14.068995999987237,14.087029199989047,14.087029199989047,14.087029199989047,14.087029199989047,14.082890866662881,0.01130830000329297,14.851700799990795,[0.21388888888888888],[0.04351851851851852],[1],[0],[0],[0.7700023999932455],"['right_image', 'right_rectangle']",2,001,2024-11-28_14h31.01.288,individual assignment animal,2024.1.5,None,2024-11-28 14h31.08.379736 +0530,
C:\Users\HP\Downloads\individual assignment\png-transparent-dromedary-bactrian-camel-camel-football-s-image-file-formats-terrestrial-animal-snout.png,C:\Users\HP\Downloads\individual assignment\panda.png,C:\Users\HP\Downloads\individual assignment\camel.wav,C:\Users\HP\Downloads\individual assignment\png-transparent-dromedary-bactrian-camel-camel-football-s-image-file-formats-terrestrial-animal-snout.png,0,8,8,8,14.88105579999683,,,,,,,,14.861325599995325,14.88105579999683,14.88105579999683,14.88105579999683,14.88105579999683,14.88105579999683,0.012304300005780533,15.683420899993507,[-0.027777777777777776],[0.03148148148148148],[1],[0],[0],[0.8093435000046156],['star'],15.683967999997549,15.70184569999401,15.70184569999401,15.70184569999401,15.70184569999401,15.698881466658593,0.010554499996942468,17.10073900000134,[-0.16296296296296298],[0.07314814814814814],[1],[0],[0],[1.405437499997788],"['left_image', 'left_rectangle']",2,001,2024-11-28_14h31.01.288,individual assignment animal,2024.1.5,None,2024-11-28 14h31.08.379736 +0530,
