l_image,r_image,target_sound,correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,key_instruct.started,welcome.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,start.started,start_Lrectangle.started,start_Rrecntangle.started,start_L_image.started,start_R_image.started,star.started,star_mouse.started,start.stopped,star_mouse.x,star_mouse.y,star_mouse.leftButton,star_mouse.midButton,star_mouse.rightButton,star_mouse.time,star_mouse.clicked_name,trial.started,right_rectangle.started,left_rectangle.started,left_image.started,right_image.started,trail_sound.started,trial_mouse.started,trail_sound.stopped,trial.stopped,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.time,trial_mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.0033453999931225553,0.012356799998087808,0.8649251999886474,space,0.840745399997104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2024-11-28_14h34.12.952,individual assignment animal,2024.1.5,None,2024-11-28 14h34.19.630137 +0530,
C:\Users\HP\Downloads\individual assignment\dog.png,C:\Users\HP\Downloads\individual assignment\pig.png,C:\Users\HP\Downloads\individual assignment\dog.wav,C:\Users\HP\Downloads\individual assignment\dog.png,0,0,0,0,0.950955399996019,,,,,,,,0.925530799999251,0.950955399996019,0.950955399996019,0.950955399996019,0.950955399996019,0.950955399996019,0.06867190000775736,2.045352899993304,[-0.009259259259259259],[0.003703703703703704],[1],[0],[0],[1.1103606000106083],['star'],2.046725799998967,2.0699170000007143,2.0699170000007143,2.0699170000007143,2.0699170000007143,2.0751530333296007,0.016840999989653938,3.6759439000015846,3.8614190999942366,[-0.3314814814814815],[0.021296296296296296],[1],[0],[0],[1.797041400001035],"['left_image', 'left_rectangle']",5,001,2024-11-28_14h34.12.952,individual assignment animal,2024.1.5,None,2024-11-28 14h34.19.630137 +0530,
C:\Users\HP\Downloads\individual assignment\parrot.png,C:\Users\HP\Downloads\individual assignment\piegon.png,C:\Users\HP\Downloads\individual assignment\1732375047288jmx5n7yf-voicemaker.in-speech.wav,"C:\Users\HP\Downloads\individual assignment\parrot.png",0,1,1,1,3.878312699991511,,,,,,,,3.8625356999982614,3.878312699991511,3.878312699991511,3.878312699991511,3.878312699991511,3.878312699991511,0.009830700000748038,4.761648699990474,[0.004629629629629629],[0.001851851851851852],[1],[0],[0],[0.8885109999973793],['star'],4.762357999992673,4.779469799992512,4.779469799992512,4.779469799992512,4.779469799992512,4.776149966656036,0.011364899997715838,,5.9791918999981135,[-0.2851851851851852],[-0.01574074074074074],[1],[0],[0],[1.203965500011691],"['left_image', 'left_rectangle']",5,001,2024-11-28_14h34.12.952,individual assignment animal,2024.1.5,None,2024-11-28 14h34.19.630137 +0530,
C:\Users\HP\Downloads\individual assignment\pig.png,C:\Users\HP\Downloads\individual assignment\dog.png,C:\Users\HP\Downloads\individual assignment\pig.wav,C:\Users\HP\Downloads\individual assignment\pig.png,0,2,2,2,6.0021123999904376,,,,,,,,5.980577599999378,6.0021123999904376,6.0021123999904376,6.0021123999904376,6.0021123999904376,6.0021123999904376,0.014723900007084012,6.910432899996522,[0.000925925925925926],[0.003703703703703704],[1],[0],[0],[0.9147194999968633],['star'],6.910920999987866,6.927113699988695,6.927113699988695,6.927113699988695,6.927113699988695,6.925484866664434,0.00974149999092333,8.550910199992359,8.523061699990649,[-0.3388888888888889],[0.03333333333333333],[1],[0],[0],[1.600850700007868],"['left_image', 'left_rectangle']",5,001,2024-11-28_14h34.12.952,individual assignment animal,2024.1.5,None,2024-11-28 14h34.19.630137 +0530,
C:\Users\HP\Downloads\individual assignment\maina.png,C:\Users\HP\Downloads\individual assignment\sparrow_.png,C:\Users\HP\Downloads\individual assignment\1732467382297lq2i0ywk-voicemaker.in-speech.wav,C:\Users\HP\Downloads\individual assignment\sparrow_.png,0,3,3,3,8.550910199992359,,,,,,,,8.524484299996402,8.550910199992359,8.550910199992359,8.550910199992359,8.550910199992359,8.550910199992359,0.01630499999737367,9.377770999999484,[0.005555555555555556],[0.013888888888888888],[1],[0],[0],[0.8358540999906836],['star'],9.378575499998988,9.400628499992308,9.400628499992308,9.400628499992308,9.400628499992308,9.408655133324405,0.014986700000008568,,10.47704359999625,[-0.3037037037037037],[0.04814814814814815],[1],[0],[0],[1.082616700005019],"['left_image', 'left_rectangle']",5,001,2024-11-28_14h34.12.952,individual assignment animal,2024.1.5,None,2024-11-28 14h34.19.630137 +0530,
C:\Users\HP\Downloads\individual assignment\laopard.png,C:\Users\HP\Downloads\individual assignment\cheetah.png,C:\Users\HP\Downloads\individual assignment\cheetah.wav,C:\Users\HP\Downloads\individual assignment\cheetah.png,0,4,4,4,10.591402299993206,,,,,,,,10.486116699990816,10.591402299993206,10.591402299993206,10.591402299993206,10.591402299993206,10.591402299993206,0.09878190000017639,11.443420899988269,[-0.018518518518518517],[0.01574074074074074],[1],[0],[0],[0.8579958000045735],['star'],11.4440709999908,11.55103999999119,11.55103999999119,11.55103999999119,11.55103999999119,11.558299066657007,0.10007040000346024,,12.793304999999236,[0.2722222222222222],[0.06018518518518518],[1],[0],[0],[1.2482414000114659],"['right_image', 'right_rectangle']",5,001,2024-11-28_14h34.12.952,individual assignment animal,2024.1.5,None,2024-11-28 14h34.19.630137 +0530,
C:\Users\HP\Downloads\individual assignment\girrage image.png,C:\Users\HP\Downloads\individual assignment\elephant.png,C:\Users\HP\Downloads\individual assignment\ElevenLabs_2024-11-23T09_20_06_Rachel_pre_s50_sb75_se0_b_m2.wav,C:\Users\HP\Downloads\individual assignment\elephant.png,0,5,5,5,13.07251099999121,,,,,,,,12.794157299998915,13.07251099999121,13.07251099999121,13.07251099999121,13.07251099999121,13.07251099999121,0.2593788999947719,13.862180099997204,[-0.022222222222222223],[0.025925925925925925],[1],[0],[0],[0.8071092999889515],['star'],13.863157899992075,14.14068289998977,14.14068289998977,14.14068289998977,14.14068289998977,14.125095466665032,0.2595833999948809,,15.110011999990093,[0.262037037037037],[0.04814814814814815],[1],[0],[0],[0.9864291999983834],"['right_image', 'right_rectangle']",5,001,2024-11-28_14h34.12.952,individual assignment animal,2024.1.5,None,2024-11-28 14h34.19.630137 +0530,
C:\Users\HP\Downloads\individual assignment\goat.png,C:\Users\HP\Downloads\individual assignment\squirrel.png,C:\Users\HP\Downloads\individual assignment\squirrel voice.wav,C:\Users\HP\Downloads\individual assignment\squirrel.png,0,6,6,6,15.28946659999201,,,,,,,,15.114946499990765,15.28946659999201,15.28946659999201,15.28946659999201,15.28946659999201,15.28946659999201,0.16833659999247175,15.96054909999657,[0.005555555555555556],[0.003703703703703704],[1],[0],[0],[0.676165899989428],['star'],15.961509999993723,16.121404599995003,16.121404599995003,16.121404599995003,16.121404599995003,16.12420516665831,0.1527797000017017,,17.210074599992367,[0.27314814814814814],[0.08981481481481482],[1],[0],[0],[1.0945413000008557],"['right_image', 'right_rectangle']",5,001,2024-11-28_14h34.12.952,individual assignment animal,2024.1.5,None,2024-11-28 14h34.19.630137 +0530,
C:\Users\HP\Downloads\individual assignment\cow.png,C:\Users\HP\Downloads\individual assignment\deer.png,C:\Users\HP\Downloads\individual assignment\1732376745479kcscs2c-voicemaker.in-speech.wav,C:\Users\HP\Downloads\individual assignment\deer.png,0,7,7,7,17.2302226999891,,,,,,,,17.211314299987862,17.2302226999891,17.2302226999891,17.2302226999891,17.2302226999891,17.2302226999891,0.01166850001027342,18.09320309999748,[-0.000925925925925926],[0.000925925925925926],[1],[0],[0],[0.8691883999999845],['star'],18.093964699990465,18.1152476999996,18.1152476999996,18.1152476999996,18.1152476999996,18.123752733321936,0.013259300001664087,,19.22710299999744,[0.32314814814814813],[0.06944444444444445],[1],[0],[0],[1.1184233999956632],"['right_image', 'right_rectangle']",5,001,2024-11-28_14h34.12.952,individual assignment animal,2024.1.5,None,2024-11-28 14h34.19.630137 +0530,
C:\Users\HP\Downloads\individual assignment\png-transparent-dromedary-bactrian-camel-camel-football-s-image-file-formats-terrestrial-animal-snout.png,C:\Users\HP\Downloads\individual assignment\panda.png,C:\Users\HP\Downloads\individual assignment\camel.wav,C:\Users\HP\Downloads\individual assignment\png-transparent-dromedary-bactrian-camel-camel-football-s-image-file-formats-terrestrial-animal-snout.png,0,8,8,8,19.253029100000276,,,,,,,,19.228303899988532,19.253029100000276,19.253029100000276,19.253029100000276,19.253029100000276,19.253029100000276,0.015595800010487437,20.209135199998855,[-0.000925925925925926],[0.004629629629629629],[1],[0],[0],[0.9639897999877576],['star'],20.210037099997862,20.233139899995876,20.233139899995876,20.233139899995876,20.233139899995876,20.239789433333982,0.01543540001148358,,21.641350399993826,[-0.30462962962962964],[0.1259259259259259],[1],[0],[0],[1.4149057999893557],"['left_image', 'left_rectangle']",5,001,2024-11-28_14h34.12.952,individual assignment animal,2024.1.5,None,2024-11-28 14h34.19.630137 +0530,
